name,pos,goals,xG,assists,xA,mins,tmValue
Tomáš Holeš,OBR,0,0.00,0,0.03,90,1000000
Štěpán Chaloupek,OBR,0,0.00,0,0.01,14,10000000
Samuel Isife,OBR,0,0.0,0,0.0,0,3500000
David Jurásek,OBR,0,0.0,0,0.0,0,5000000
Youssoupha Mbodji,OBR,0,0.0,0,0.0,0,1200000
Igoh Ogbu,OBR,0,0.0,0,0.0,0,7000000
Tomáš Vlček,OBR,0,0.0,0,0.0,0,4000000
David Zima,OBR,0,0.0,0,0.0,0,7000000
Neil Glossoa,OBR,0,0.0,0,0.0,0,500000
Ange N'Guessan,OBR,0,0.00,1,0.21,90,3500000
Mikuláš Konečný,OBR,0,0.00,0,0.05,89,2100000
Eliáš Piták,OBR,0,0.00,0,0.02,64,0
Jakub Kolísek,OBR,0,0.00,0,0.00,45,362000
Dominik Javorček,OBR,0,0.0,0,0.0,0,350000
Oscar Dorley,ZÁL,0,0.0,0,0.0,0,8000000
David Douděra,ZÁL,0,0.0,0,0.0,0,3500000
David Moses,ZÁL,0,0.0,0,0.0,0,10000000
Lukáš Provod,ZÁL,0,0.00,0,0.76,26,8000000
Michal Sadílek,ZÁL,0,0.10,1,0.15,90,8000000
Mubarak Suleiman,ZÁL,0,0.0,0,0.0,0,300000
Youssoupha Sanyang,ZÁL,0,0.0,0,0.0,0,2500000
Emmanuel Ayaosi,ZÁL,0,0.16,0,0.02,26,2000000
Wiktor Nowak,ZÁL,2,1.17,0,0.01,64,1000000
Oskar Kubiak,ZÁL,0,0.0,0,0.0,0,0
Toumani Diakité,ZÁL,0,0.0,0,0.0,0,482000
Adonija Ouanda,ZÁL,1,0.41,0,0.54,64,343000
Albert Labík,ZÁL,0,0.00,0,0.03,45,842000
Simion Michez,ZÁL,0,0.0,0,0.0,0,950000
Tomáš Chorý,ÚTO,0,0.0,0,0.0,0,3000000
Mojmír Chytil,ÚTO,2,2.26,0,0.01,76,4000000
Ivan Schranz,ÚTO,0,0.0,0,0.0,0,1500000
Pavel Kačor,ÚTO,0,0.00,0,0.02,26,3000000
Danijel Šturm,ÚTO,0,0.39,1,0.71,90,4000000
